age,xco2,xco2_16pc,xco2_84pc
2561.898438,312.891107704241,291.985508113019,334.232769870331
2579.425049,343.328301288114,320.582226076922,366.57790229626
2594.836426,377.990680550548,351.737644873678,405.410809807339
2615.069336,291.70586561468,272.312609595704,311.357462950195
2624.496094,318.99495479341,297.655000086055,340.946991401229
2630.914795,257.856511643285,240.420416615179,275.644744159461
2648.257813,295.479199780615,275.811788197374,315.461999447196
2664.697021,317.502271781538,296.113872749138,339.58235176758
2673.016113,275.5722759316,256.937236791057,294.753194357869
2680.359375,337.293244688259,314.963744525979,360.083339399569
2686.560303,297.256772682234,277.358321045143,317.617083484239
2695.158203,287.735035821847,268.556799141743,307.121404683297
2700.043457,245.189269028973,225.282433286501,265.889950942686
2703.202637,332.439357539423,309.430352933671,356.349375509746
2707.214111,274.591757334936,256.266816197253,293.174449611635
2745.515625,354.824553632563,331.363104790555,378.713716288553
2751.482666,335.96879283551,312.132049100882,360.836522777724
2764.187012,374.123876751672,349.113650437582,399.885509589879
2777.480957,292.677637338264,273.177518220075,312.509305758855
2798.543701,295.307102808772,275.4082156481,315.776785609369
2830.17627,334.006609594009,311.705091908504,356.924898064812
2831.683838,378.704211563377,346.209686026744,413.057060648461
2838.900635,406.103560005485,379.448047039274,433.504942695257
2849.182373,322.371455722983,300.613867516825,344.75135350272
2858.321045,463.725412569811,432.992883316496,495.450047928525
2881.506,233.277755930407,218.503163085665,248.485177844506
2912.384277,387.140184063818,361.600231092221,413.414385555037
2923.55957,393.706427638108,367.44155864586,420.763442128817
2941.578125,354.096831192164,330.811511486887,377.7869914312
2950.492676,374.385584033492,349.105376657094,400.52020327311
2951.161377,438.445474916846,403.426328464877,475.304059049449
2959.599365,364.840971734313,340.919932627144,389.203414039443
2978.066406,345.945432474255,323.2361676689,369.058905356827
3002.813721,387.725730306997,361.99812338029,414.263088020413
3010.996094,375.001785240384,349.903201327073,400.887145252014
3027.581543,400.112969236598,373.799658600566,427.151967314236
3042.66333,440.047917698158,409.706806576587,471.756343440263
3050.016113,440.190467894146,411.422198351101,469.745688350435
3059.026123,379.562743101188,352.417824488757,407.783123263503
3062.960938,433.947255714929,404.560648944684,464.516738962692
3066.538086,399.307801812155,372.309119865308,427.337457172394
3091.18335,353.842918763368,330.164145184197,378.261762626749
3100.177002,338.824723992928,316.190132428394,362.177484774622
3114.238281,413.58202499543,386.219263098502,441.779604108941
3133.154785,363.774741626605,338.564197707612,390.169628018303
3143.166016,352.995169518946,327.840236470109,379.261547032376
3149.8,314.74753517207,294.119285173059,335.697640918129
3151.899902,421.822568652491,376.981492057787,471.168577547631
3152.24,399.183971402151,372.9710674851,426.014308841258
3153.05,376.390892642332,350.958547397046,402.681928759415
3155.33,354.766929170086,331.917555839683,377.544362979752
3156.8,530.167835044878,495.715310342954,565.538909346863
3157.937012,359.744796000817,335.432866864972,384.864424514806
3158.75,366.880251679525,343.263369032942,390.49093216697
3160.05,367.032581424211,342.765309311193,391.923193842084
