age_tuned,ISOBENbinned_d13Ccount,ISOBENbinned_d13C,ISOBENbinned_d13Cinterp,ISOBENbinned_d18Ocount,ISOBENbinned_d18O,ISOBENbinned_d18Ointerp,ISOBENd13cLOESSsmooth,ISOBENd18oLOESSsmooth,ISOBENLOESSsmooth_pts,ISOBENd13cLOESSsmoothLongTerm,ISOBENd18oLOESSsmoothLongTerm,ISOBENLOESSsmooth_pts
0.062,5,-0.939999985694885,-0.939999985694885,5,4.94199991226196,4.94199991226196,-1.0253892,4.9249172,10pts smooth,-0.58656913,4.5709591,500pts smooth
0.064,2,-1.03000003099441,-1.03000003099441,2,4.91000008583068,4.91000008583068,-0.95464647,4.9279256,10pts smooth,-0.58590347,4.5695181,500pts smooth
0.066,2,-0.995000004768371,-0.995000004768371,2,4.97000002861022,4.97000002861022,-0.82811159,4.8894386,10pts smooth,-0.58523464,4.5680861,500pts smooth
0.068,2,-0.489999994635582,-0.489999994635582,2,4.77500009536743,4.77500009536743,-0.72671974,4.790586,10pts smooth,-0.5845626,4.5666637,500pts smooth
0.07,5,-0.667999994754791,-0.667999994754791,5,4.62800006866455,4.62800006866455,-0.63755828,4.6727462,10pts smooth,-0.58388722,4.5652504,500pts smooth
0.072,3,-0.18000000466903,-0.18000000466903,3,4.52999989191691,4.52999989191691,-0.62094641,4.5608926,10pts smooth,-0.58320844,4.5638466,500pts smooth
0.074,2,-1.45000004768371,-1.45000004768371,2,4.52999997138977,4.52999997138977,-0.54962862,4.4672437,10pts smooth,-0.58252615,4.5624523,500pts smooth
0.076,3,0.0866666659712791,0.0866666659712791,3,4.3700000445048,4.3700000445048,-0.44970238,4.3845091,10pts smooth,-0.58184016,4.5610676,500pts smooth
0.078,2,-0.429999992251396,-0.429999992251396,2,4.29999995231628,4.29999995231628,-0.19158369,4.2992759,10pts smooth,-0.58115047,4.5596924,500pts smooth
0.08,2,0.179999999701976,0.179999999701976,2,4.21000003814697,4.21000003814697,0.029913316,4.2307673,10pts smooth,-0.58045697,4.5583262,500pts smooth
0.082,2,-0.0250000022351741,-0.0250000022351741,2,4.24000000953674,4.24000000953674,-0.043448526,4.1950331,10pts smooth,-0.57975948,4.5569701,500pts smooth
0.084,4,0.0324999988079071,0.0324999988079071,4,4.15749996900558,4.15749996900558,-0.21070917,4.2020512,10pts smooth,-0.57905799,4.5556235,500pts smooth
0.086,1,-0.600000023841857,-0.600000023841857,1,4.23999977111816,4.23999977111816,-0.44369432,4.305088,10pts smooth,-0.57835233,4.5542865,500pts smooth
0.0879999999999999,3,-0.839999973773956,-0.839999973773956,3,4.37666686375935,4.37666686375935,-0.63894439,4.4174976,10pts smooth,-0.57764244,4.552959,500pts smooth
0.09,1,-0.589999973773956,-0.589999973773956,1,4.67999982833862,4.67999982833862,-0.57803351,4.4821572,10pts smooth,-0.57692814,4.551641,500pts smooth
0.092,0,,-0.414999991655349,0,,4.51249992847442,-0.43538502,4.5173926,10pts smooth,-0.57620943,4.550333,500pts smooth
0.094,2,-0.240000009536743,-0.240000009536743,2,4.34500002861022,4.34500002861022,-0.26936546,4.4777102,10pts smooth,-0.57548618,4.5490346,500pts smooth
0.096,3,-0.00666666527589162,-0.00666666527589162,3,4.46333344777425,4.46333344777425,-0.14254268,4.4102511,10pts smooth,-0.57475823,4.5477457,500pts smooth
0.098,2,-0.0249999985098838,-0.0249999985098838,2,4.34500002861022,4.34500002861022,-0.17805232,4.3535795,10pts smooth,-0.57402557,4.5464668,500pts smooth
0.1,1,-0.490000009536743,-0.490000009536743,1,4.34000015258789,4.34000015258789,-0.23198481,4.2905359,10pts smooth,-0.57328796,4.545198,500pts smooth
0.102,4,-0.519999992102384,-0.519999992102384,4,4.22500002384185,4.22500002384185,-0.23181129,4.1930428,10pts smooth,-0.57254547,4.5439386,500pts smooth
0.104,1,0.170000001788139,0.170000001788139,1,4.01000022888183,4.01000022888183,-0.24215275,4.1117067,10pts smooth,-0.57179785,4.5426893,500pts smooth
0.106,3,-0.0799999982118606,-0.0799999982118606,3,4.1200000445048,4.1200000445048,-0.26342559,4.0995045,10pts smooth,-0.5710451,4.5414495,500pts smooth
0.108,2,-0.73999997973442,-0.73999997973442,2,4.10000014305114,4.10000014305114,-0.30927122,4.1297736,10pts smooth,-0.57028705,4.5402203,500pts smooth
0.11,3,-0.263333330551783,-0.263333330551783,3,4.25000015894572,4.25000015894572,-0.45423916,4.2360463,10pts smooth,-0.56952363,4.5390005,500pts smooth
0.112,3,-0.496666659911473,-0.496666659911473,3,4.31666676203409,4.31666676203409,-0.57268083,4.3485193,10pts smooth,-0.56875473,4.5377908,500pts smooth
0.114,2,-0.754999995231628,-0.754999995231628,2,4.5,4.5,-0.54969257,4.4270844,10pts smooth,-0.56798023,4.5365911,500pts smooth
0.116,3,-0.419999996821085,-0.419999996821085,3,4.44000005722045,4.44000005722045,-0.4778167,4.4617696,10pts smooth,-0.56720001,4.5354013,500pts smooth
